"area","L.sqm","af","year"
"nw",0.115140934403637,27,2003
"se",0.0474151902693284,30,2003
"sw",0.12605476007516,12,2003
"ce",0.0660754516596638,33,2004
"ch",0.144823367949338,10,2004
"cw",0.185175888962741,28,2004
"ka",0.0206889905329361,10,2004
"ne",0.00397377679326892,11,2004
"nw",0.0434176193691791,27,2004
"se",0.0186513177547218,30,2004
"sw",0.11848797276753,12,2004
"ce",0.0853421813155446,33,2005
"ch",0.396551376255781,10,2005
"cw",0.198093478206768,28,2005
"ka",0.0270895670512381,10,2005
"ne",0.00766789707528834,11,2005
"nw",0.0167187125805388,27,2005
"se",0.184989250430881,30,2005
"sw",0.279375642154703,12,2005
"ce",0.0781666264182657,33,2006
"ch",0.0689507385510106,10,2006
"cw",0.241587891477265,28,2006
"ka",0.00766941075733183,10,2006
"ne",0.0184151670390604,11,2006
"nw",0.0133729524105791,27,2006
"se",0.169725178459583,30,2006
"sw",0.290144422795626,12,2006
"ce",0.0256756216446749,33,2007
"ch",0.709272256881623,10,2007
"cw",0.210607330851128,28,2007
"ka",0.0404904254491907,10,2007
"ne",0.000648159359248756,11,2007
"nw",0.00393511908426842,27,2007
"se",0.0127031882299345,30,2007
"sw",0.13220192728939,12,2007
"ce",0.0305165220041749,33,2008
"ch",0.318227970726579,10,2008
"cw",0.184359733110443,28,2008
"ka",0.0190237869349811,10,2008
"ne",0.00940013840974075,11,2008
"nw",0.0131211951177899,27,2008
"se",0.058190318062804,30,2008
"sw",0.0831641459363997,12,2008
"ce",0.24508296302253,33,2009
"ch",0.277176759786277,10,2009
"cw",0.274454998383052,28,2009
"ka",0.160480196824781,10,2009
"ne",0.137804445115746,11,2009
"nw",0.144237134684856,27,2009
"se",0.0907103396628476,30,2009
"sw",0.12348263362461,12,2009
"ce",0.0527339613352996,33,2010
"ch",0.0410909624788893,10,2010
"cw",0.20162212965413,28,2010
"ka",0.000484843016170523,10,2010
"ne",0.0808479013017122,11,2010
"nw",0.0694624939274779,27,2010
"se",0.139864258659424,30,2010
"sw",0.288998317500663,12,2010
"ce",0.0636759561873565,33,2011
"ch",0.0963605593185865,10,2011
"cw",0.530308078885784,28,2011
"ne",0.00430167663259205,11,2011
"nw",0.0248500248145248,27,2011
"se",0.0813100966151046,30,2011
"sw",0.187071219363687,12,2011
"ce",0.131011787860027,33,2012
"ch",0.0560042718254004,10,2012
"cw",0.308623573145695,28,2012
"ka",0.0760304866698251,10,2012
"ne",0.000955634200927412,11,2012
"nw",0.00873677983814386,27,2012
"se",0.127114524144273,30,2012
"sw",0.211719372309466,12,2012
"ce",0.0710655529294716,33,2013
"ch",0.191428520043537,10,2013
"cw",0.191612021161003,28,2013
"ka",0.0045448142119396,10,2013
"ne",0.00297141438109549,11,2013
"nw",0.0229063510238009,27,2013
"se",0.256932033092649,30,2013
"sw",0.134730542212535,12,2013
"ce",0.249966462355739,33,2014
"ch",0.20892728612194,10,2014
"cw",0.234376171575505,28,2014
"ka",0.0372734649786788,10,2014
"ne",0.151049269030783,11,2014
"nw",0.131282643263361,27,2014
"se",0.309082062560633,30,2014
"sw",0.38745722293823,12,2014
"ce",0.0465898695318648,33,2015
"ch",0.037962370859122,10,2015
"cw",0.149864728442697,28,2015
"ka",0.00907844637170392,10,2015
"ne",0.0060217552885499,11,2015
"nw",0.00925048459567363,27,2015
"se",0.00203935557563519,30,2015
"sw",0.0375257758629591,12,2015
"ce",0.0616887844194487,33,2016
"ch",0.921671825662969,10,2016
"cw",0.139855910516842,28,2016
"ka",0.00650918522527657,10,2016
"ne",0.015443504191146,11,2016
"nw",0.0146992610723449,27,2016
"se",0.32272690207609,30,2016
"sw",0.0830148422718156,12,2016
"ce",0.0203316448866907,33,2017
"ch",0.196022159576278,10,2017
"cw",0.142564736991085,28,2017
"ka",0.020366763163564,10,2017
"ne",0.00145674283311676,11,2017
"nw",0.00545364520196305,27,2017
"se",0.034894488429407,30,2017
"sw",0.0816582019069099,12,2017
"ce",0.180532769170368,33,2018
"ch",0.0185915672438141,10,2018
"cw",0.394823060424928,28,2018
"ka",0.0311490012649818,10,2018
"ne",0.000912031057712522,11,2018
"nw",0.111306844873693,27,2018
"se",0.259501867558911,30,2018
"sw",0.430136967251593,12,2018
"ce",0.103225263685031,33,2019
"ch",0.117134038189602,10,2019
"cw",47.4919227297326,28,2019
"ka",0.083354300828862,10,2019
"ne",0.0226357421224084,11,2019
"nw",0.0165773385215482,27,2019
"se",0.0287362309204458,30,2019
"sw",303.03955593493,12,2019
"ce",0.151192332916484,33,2020
"ch",0.0458741742163079,10,2020
"cw",0.153931278423352,28,2020
"ka",0.0593912857913976,10,2020
"ne",0.00113137118066677,11,2020
"nw",0.0191894759100697,27,2020
"se",0.238139090703864,30,2020
"sw",0.154700271177552,12,2020
"ce",0.0607948743029067,33,2021
"ch",0.277669403973973,10,2021
"cw",0.366057720063601,28,2021
"ka",0.0182022274441837,10,2021
"ne",0.00196732632942432,11,2021
"nw",0.0127527467586996,27,2021
"se",0.178097516788628,30,2021
"sw",0.23857177026749,12,2021
"ce",0.0467382759139112,33,2022
"ch",0.0915432456342236,10,2022
"cw",32.6343312234272,28,2022
"ka",0.0314243845909037,10,2022
"ne",0.00190552556117451,11,2022
"nw",0.00102991002431516,27,2022
"se",0.103544331948519,30,2022
"sw",17.2705560148117,12,2022
"ce",0.0312029094491894,33,2023
"ch",1.02323327719561,10,2023
"cw",11.783525996842,28,2023
"ka",0.00644047832265496,10,2023
"ne",0.000938880556165524,11,2023
"nw",0.00414081984541633,27,2023
"se",0.110708851712318,30,2023
"sw",42.3132200556,12,2023
"ce",0.101954362923114,33,2024
"ch",0.0255494859749672,10,2024
"cw",26.3965388916237,28,2024
"ka",0.0779072820409366,10,2024
"ne",0.00515114634343211,11,2024
"nw",0.036214121060258,27,2024
"se",0.105970283839725,30,2024
"sw",22.3317362835337,12,2024
"ce",0.0199048508310272,33,2025
"ch",0.00756297996263525,10,2025
"cw",0.201294781081546,28,2025
"ka",0.0239538485684933,10,2025
"ne",0,11,2025
"nw",0.019167467776417,27,2025
"se",0.0586933419033856,30,2025
"sw",0.135269508059154,12,2025
